1,1,5,11550,43,10,6400,55,3,6000,61,4,6080,65,2,false
0,0,2,6150,0,6,5000,75,1,7440,3,7,0,-1,0,false
Linza527,Linza527,6,0,-1,0,0,-1,0,13520,72,1,4800,163,1,false
showTrace,showTrace,1,0,-1,0,0,-1,0,0,-1,0,6400,74,3,false
11,1,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,false
123,123,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,false
1234,1234,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,false
Joseph,Joseph,3,10900,63,1,0,-1,0,0,-1,0,4160,77,1,false
12345,123,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,false
9,9,4,6450,65,1,0,-1,0,0,-1,0,0,-1,0,false
5,5,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,false
